run,learning_rate,gamma,batch_size,buffer_size,exploration_fraction,exploration_final_eps,target_update_interval,net_arch,mean_ep_reward,std_ep_reward,max_ep_reward,n_episodes,train_time_s
0,0.001,0.99,64,50000,0.15,0.05,500,"[128, 128]",751.82,466.5,1068.3,1200,566.6
1,0.0005,0.99,64,100000,0.2,0.05,500,"[128, 128]",-425.71,519.75,1063.8,1200,565.1
2,0.002,0.95,32,10000,0.1,0.1,300,"[64, 64]",235.28,474.64,1028.8,1200,554.4
3,0.001,0.99,128,50000,0.2,0.05,1000,"[256, 256]",776.1,389.39,1089.3,1200,567.8
4,0.0005,0.99,64,50000,0.3,0.02,500,"[128, 128]",997.52,116.24,1074.0,1200,562.6
5,0.001,0.9,64,50000,0.15,0.05,500,"[128, 64]",616.77,739.12,1106.6,1200,570.4
6,0.0003,0.99,256,100000,0.2,0.02,1000,"[256, 128]",567.22,613.34,1082.0,1200,787.4
7,0.0001,0.99,64,50000,0.25,0.05,500,"[128, 128]",545.25,677.29,1077.0,1200,559.3
8,0.001,0.98,64,50000,0.15,0.05,200,"[128, 128]",621.07,417.38,1057.8,1200,752.8
9,0.0005,0.99,128,75000,0.2,0.03,750,[512],232.19,436.48,1076.5,1200,519.7
